title,performer,last_charted,peak_pos,weeks_on_chart
9 To 5,Dolly Parton,2026,1,27
All I Want For Christmas Is You,Mariah Carey,2026,1,79
Aperture,Harry Styles,2026,1,1
Beat It,Michael Jackson,2026,1,26
Billie Jean,Michael Jackson,2026,1,26
Choosin' Texas,Ella Langley,2026,1,16
Dirty Diana,Michael Jackson,2026,1,15
Don't Stop 'Til You Get Enough,Michael Jackson,2026,1,22
Drop Dead,Olivia Rodrigo,2026,1,1
DTMF,Bad Bunny,2026,1,22
Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",2026,1,27
Hate That I Made You Love Me,Ariana Grande,2026,1,1
I Just Might,Bruno Mars,2026,1,1
"I Knew It, I Knew You",Taylor Swift,2026,1,1
Islands In The Stream,Kenny Rogers Duet With Dolly Parton,2026,1,26
Janice STFU,Drake,2026,1,1
Manchild,Sabrina Carpenter,2026,1,26
Opalite,Taylor Swift,2026,1,20
Ordinary,Alex Warren,2026,1,46
Rock With You,Michael Jackson,2026,1,25
Rockin' Around The Christmas Tree,Brenda Lee,2026,1,71
Swim,BTS,2026,1,1
The Fate Of Ophelia,Taylor Swift,2026,1,12
What I Want,Morgan Wallen Featuring Tate McRae,2026,1,28
Baile Inolvidable,Bad Bunny,2026,2,22
Be Her,Ella Langley,2026,2,12
Been By Now,Morgan Wallen,2026,2,1
Boston,Stella Lefty,2026,2,20
Daisies,Justin Bieber,2026,2,24
Jingle Bell Rock,Bobby Helms,2026,2,68
Last Christmas,Wham!,2026,2,53
Man I Need,Olivia Dean,2026,2,22
Party In The U.S.A.,Miley Cyrus,2026,2,30
Purple Rain,Prince And The Revolution,2026,2,19
Ran To Atlanta,Drake Feauring Future & Molly Santana,2026,2,1
Ran To Atlanta,Drake Featuring Future & Molly Santana,2026,2,2
"Take Me Home, Country Roads",John Denver With Fat City,2026,2,24
Trap Queen,Fetty Wap,2026,2,53
What Did I Miss?,Drake,2026,2,13
Elizabeth Taylor,Taylor Swift,2026,3,12
Here You Come Again,Dolly Parton,2026,3,20
Running Up That Hill (A Deal With God),Kate Bush,2026,3,41
Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",2026,3,23
Stupid Song,Olivia Rodrigo,2026,3,1
Tears,Sabrina Carpenter,2026,3,17
Tit For Tat,Tate McRae,2026,3,13
Whisper My Name,Drake,2026,3,1
A Holly Jolly Christmas,Burl Ives,2026,4,51
American Girls,Harry Styles,2026,4,1
Father Figure,Taylor Swift,2026,4,12
I Can't Love You Anymore,Ella Langley & Morgan Wallen,2026,4,11
Petal,Ariana Grande,2026,4,1
Risk It All,Bruno Mars,2026,4,1
Shabang,Drake,2026,4,1
Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",2026,4,24
Baby,Justin Bieber Featuring Ludacris,2026,5,21
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,2026,5,25
Dakiti,Bad Bunny & Jhay Cortez,2026,5,29
Dracula,Tame Impala & JENNIE,2026,5,41
It's The Most Wonderful Time Of The Year,Andy Williams,2026,5,52
Love Me Not,Ravyn Lenae,2026,5,35
Monaco,Bad Bunny,2026,5,21
Nuevayol,Bad Bunny,2026,5,22
Santa Tell Me,Ariana Grande,2026,5,36
So Easy (To Fall In Love),Olivia Dean,2026,5,33
The Cure,Olivia Rodrigo,2026,5,1
Titi Me Pregunto,Bad Bunny,2026,5,31
End Of Beginning,Djo,2026,6,23
Feliz Navidad,Jose Feliciano,2026,6,43
Folded,Kehlani,2026,6,29
Mutt,Leon Thomas,2026,6,47
National Treasures,Drake,2026,6,1
Stateside,PinkPantheress With Zara Larsson,2026,6,10
The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",2026,6,56
The Great Divide,Noah Kahan,2026,6,1
Wi$h Li$t,Taylor Swift,2026,6,11
Back To Friends,sombr,2026,7,40
Human Nature,Michael Jackson,2026,7,15
I Got Better,Morgan Wallen,2026,7,29
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,2026,7,42
Make Them Cry,Drake,2026,7,1
Underneath The Tree,Kelly Clarkson,2026,7,39
Dust,Drake,2026,8,1
How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",2026,8,23
I Ain't Coming Back,Morgan Wallen Featuring Post Malone,2026,8,28
Sleigh Ride,The Ronettes,2026,8,39
Sweet Home Alabama,Lynyrd Skynyrd,2026,8,18
The Life Of A Showgirl,Taylor Swift Featuring Sabrina Carpenter,2026,8,10
Wonderwall,Oasis,2026,8,21
2 Hard 4 The Radio,Drake,2026,9,1
Born In The U.S.A.,Bruce Springsteen,2026,9,18
Don't Stop Believin',Journey,2026,9,17
Doors,Noah Kahan,2026,9,1
Honeybee,Olivia Rodrigo,2026,9,1
BbY WOW,Karol G With Judeline & rusowsky,2026,10,5
Make Them Pay,Drake,2026,10,1
Run Rudolph Run,Chuck Berry,2026,10,31
"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,2026,11,22
EOO,Bad Bunny,2026,11,32
Mistletoe,Justin Bieber,2026,11,18
Plot Twist,Drake,2026,11,1
Sleepless In A Hotel Room,Luke Combs,2026,11,11
Where Is My Husband!,RAYE,2026,11,27
B's On The Table,Drake Featuring 21 Savage,2026,12,1
Be By You,Luke Combs,2026,12,2
FDO,Pooh Shiesty,2026,12,3
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,2026,12,32
It's Beginning To Look A Lot Like Christmas,Michael Buble,2026,12,31
Maggots For Brains,Olivia Rodrigo,2026,12,1
Travelin' Soldier,Cody Johnson,2026,12,7
What You Saying,Lil Uzi Vert,2026,12,3
White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,2026,12,44
Yukon,Justin Bieber,2026,12,41
Burning Bridges,Drake,2026,13,1
Midnight Sun,Zara Larsson,2026,13,34
Plastic Cigarette,Zach Bryan,2026,13,1
Body,Don Toliver,2026,14,1
Christmas (Baby Please Come Home),Darlene Love,2026,14,32
End Of August,Noah Kahan,2026,14,1
Fortunate Son,Creedence Clearwater Revival,2026,14,5
Voy A Llevarte Pa PR,Bad Bunny,2026,14,18
20 Cigarettes,Morgan Wallen,2026,15,32
E85,Don Toliver,2026,15,4
Homewrecker,sombr,2026,15,21
My Way,Olivia Rodrigo,2026,15,1
"Ready, Steady, Go!",Harry Styles,2026,15,1
American Cars,Noah Kahan,2026,16,1
Babydoll,Dominic Fike,2026,16,7
Begged,Olivia Rodrigo,2026,16,1
Deck The Halls,Nat King Cole,2026,16,22
Don't We,Morgan Wallen,2026,16,23
Eternity,Alex Warren,2026,16,17
It Depends,Chris Brown Featuring Bryson Tiller,2026,16,22
Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,2026,16,23
Jolene,Dolly Parton,2026,16,9
Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,2026,16,33
Two Six,J. Cole,2026,16,1
wgft,Gunna Featuring Burna Boy,2026,16,24
Dai Dai (FIFA World Cup Official Song 2026),Shakira X Burna Boy,2026,17,6
Iloveitiloveitiloveit,Bella Kay,2026,17,7
Spend Dat,Yung Miami,2026,17,7
Taste Back,Harry Styles,2026,17,1
What's Wrong With Me,Olivia Rodrigo & Robert Smith,2026,17,1
When Did You Get Hot?,Sabrina Carpenter,2026,17,16
Blue Christmas,Elvis Presley,2026,18,21
Coming Up Roses,Harry Styles,2026,18,1
Dead Fresh,Lil Baby,2026,18,1
Happy Holiday / The Holiday Season,Andy Williams,2026,18,24
Little Birdie,Drake,2026,18,1
Loser,Tame Impala,2026,18,4
Please Come Home For Christmas,Eagles,2026,18,21
Dashboard,Noah Kahan,2026,19,1
Die On This Hill,Sienna Spiro,2026,19,6
Earrings,Malcolm Todd,2026,19,28
Jaded,Koe Wetzel & Ella Langley,2026,19,1
Make Them Remember,Drake,2026,19,1
Oh Yeah?,Steve Lacy,2026,19,3
Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,2026,19,17
u + me = <3,Olivia Rodrigo,2026,19,1
Bottom Of Your Boots,Ella Langley,2026,20,1
Chicken Fried,Zac Brown Band,2026,20,26
Expectations,Olivia Rodrigo,2026,20,1
Porch Light,Noah Kahan,2026,20,1
4X4,Travis Scott,2025,1,1
A Bar Song (Tipsy),Shaboozey,2025,1,37
Die With A Smile,Lady Gaga & Bruno Mars,2025,1,20
Fortnight,Taylor Swift Featuring Post Malone,2025,1,21
Ghostbusters,Ray Parker Jr.,2025,1,26
Humble.,Kendrick Lamar,2025,1,38
I Had Some Help,Post Malone Featuring Morgan Wallen,2025,1,33
Like That,"Future, Metro Boomin & Kendrick Lamar",2025,1,32
Lose Control,Teddy Swims,2025,1,72
Love Somebody,Morgan Wallen,2025,1,10
Luther,Kendrick Lamar & SZA,2025,1,13
Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",2025,1,42
Not Like Us,Kendrick Lamar,2025,1,34
Please Please Please,Sabrina Carpenter,2025,1,28
Squabble Up,Kendrick Lamar,2025,1,5
Too Sweet,Hozier,2025,1,40
Beautiful Things,Benson Boone,2025,2,49
Birds Of A Feather,Billie Eilish,2025,2,32
Evil J0rdan,Playboi Carti,2025,2,1
I'm The Problem,Morgan Wallen,2025,2,1
Just In Case,Morgan Wallen,2025,2,9
Million Dollar Baby,Tommy Richman,2025,2,32
Nokia,Drake,2025,2,8
Somebody's Watching Me,Rockwell,2025,2,22
Taste,Sabrina Carpenter,2025,2,18
TV Off,Kendrick Lamar Featuring Lefty Gunplay,2025,2,5
APT.,ROSE & Bruno Mars,2025,3,14
Espresso,Sabrina Carpenter,2025,3,37
Euphoria,Kendrick Lamar,2025,3,17
The Subway,Chappell Roan,2025,3,1
Timeless,The Weeknd & Playboi Carti,2025,3,13
All The Way,BigXthaPlug Featuring Bailey Zimmerman,2025,4,1
"Good Luck, Babe!",Chappell Roan,2025,4,38
Pink Pony Club,Chappell Roan,2025,4,44
Rather Lie,Playboi Carti & The Weeknd,2025,4,1
Smile,Morgan Wallen,2025,4,2
Thriller,Michael Jackson,2025,4,25
Wacced Out Murals,Kendrick Lamar,2025,4,5
Hey Now,Kendrick Lamar Featuring Dody6,2025,5,5
The Giver,Chappell Roan,2025,5,1
Wood,Taylor Swift,2025,5,1
Gimme A Hug,Drake,2025,6,1
