title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
2 Hard 4 The Radio,Drake,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
American Cars,Noah Kahan,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
American Girls,Harry Styles,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Aperture,Harry Styles,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
B's On The Table,Drake Featuring 21 Savage,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Babydoll,Dominic Fike,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
BbY WOW,Karol G With Judeline & rusowsky,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Be By You,Luke Combs,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Be Her,Ella Langley,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Been By Now,Morgan Wallen,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Begged,Olivia Rodrigo,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Body,Don Toliver,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Born In The U.S.A.,Bruce Springsteen,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Boston,Stella Lefty,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bottom Of Your Boots,Ella Langley,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Burning Bridges,Drake,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Coming Up Roses,Harry Styles,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dai Dai (FIFA World Cup Official Song 2026),Shakira X Burna Boy,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dashboard,Noah Kahan,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dead Fresh,Lil Baby,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Die On This Hill,Sienna Spiro,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Don't Stop 'Til You Get Enough,Michael Jackson,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Doors,Noah Kahan,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dracula,Tame Impala & JENNIE,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Drop Dead,Olivia Rodrigo,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dust,Drake,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
E85,Don Toliver,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Earrings,Malcolm Todd,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
End Of August,Noah Kahan,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Expectations,Olivia Rodrigo,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Hate That I Made You Love Me,Ariana Grande,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Homewrecker,sombr,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Honeybee,Olivia Rodrigo,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
I Can't Love You Anymore,Ella Langley & Morgan Wallen,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
I Just Might,Bruno Mars,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"I Knew It, I Knew You",Taylor Swift,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Iloveitiloveitiloveit,Bella Kay,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jaded,Koe Wetzel & Ella Langley,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Janice STFU,Drake,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Little Birdie,Drake,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Maggots For Brains,Olivia Rodrigo,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Make Them Cry,Drake,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Make Them Pay,Drake,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Make Them Remember,Drake,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Midnight Sun,Zara Larsson,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
My Way,Olivia Rodrigo,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
National Treasures,Drake,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Oh Yeah?,Steve Lacy,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Petal,Ariana Grande,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Plastic Cigarette,Zach Bryan,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Plot Twist,Drake,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Porch Light,Noah Kahan,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ran To Atlanta,Drake Feauring Future & Molly Santana,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ran To Atlanta,Drake Featuring Future & Molly Santana,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Ready, Steady, Go!",Harry Styles,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Risk It All,Bruno Mars,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Shabang,Drake,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Sleepless In A Hotel Room,Luke Combs,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Spend Dat,Yung Miami,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Stateside,PinkPantheress With Zara Larsson,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Stupid Song,Olivia Rodrigo,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Swim,BTS,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Take Me Home, Country Roads",John Denver With Fat City,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Taste Back,Harry Styles,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Cure,Olivia Rodrigo,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
The Great Divide,Noah Kahan,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Two Six,J. Cole,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
u + me = <3,Olivia Rodrigo,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
What You Saying,Lil Uzi Vert,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
What's Wrong With Me,Olivia Rodrigo & Robert Smith,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Whisper My Name,Drake,unknown,2026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20 Cigarettes,Morgan Wallen,unknown,2025,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30 For 30,SZA With Kendrick Lamar,unknown,2025,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
