rank,title,performer,last_week,peak_pos,weeks_on_chart
1,Choosin' Texas,Ella Langley,1,1,47
2,Boston,Stella Lefty,2,2,23
3,"I Knew It, I Knew You",Taylor Swift,3,1,14
4,Been By Now,Morgan Wallen,5,2,7
5,Hate That I Made You Love Me,Ariana Grande,4,1,15
6,Dracula,Tame Impala & JENNIE,6,5,50
7,So Easy (To Fall In Love),Olivia Dean,7,5,50
8,Man I Need,Olivia Dean,8,2,55
9,Be Her,Ella Langley,10,2,30
10,BbY WOW,Karol G With Judeline & rusowsky,16,10,5
11,Risk It All,Bruno Mars,9,4,28
12,Stupid Song,Olivia Rodrigo,12,3,13
13,Midnight Sun,Zara Larsson,15,13,34
14,I Can't Love You Anymore,Ella Langley & Morgan Wallen,11,4,20
15,I Just Might,Bruno Mars,14,1,35
16,Drop Dead,Olivia Rodrigo,13,1,21
17,Be By You,Luke Combs,18,12,30
18,Janice STFU,Drake,17,1,17
19,Earrings,Malcolm Todd,21,19,28
20,Babydoll,Dominic Fike,20,16,31
21,Dead Fresh,Lil Baby,23,18,8
22,Loser,Tame Impala,24,18,7
23,Jaded,Koe Wetzel & Ella Langley,27,19,5
24,Loving Life Again,Ella Langley,28,21,25
25,The Cure,Olivia Rodrigo,26,5,16
26,Oh Yeah?,Steve Lacy,29,19,6
27,Animal,KATSEYE,30,24,7
28,Spend Dat,Yung Miami,25,17,16
29,Dai Dai (FIFA World Cup Official Song 2026),Shakira X Burna Boy,31,17,13
30,Ain't In LA,ADELA,57,30,6
31,Morning Dew (Donk),Beyonce,38,26,10
32,What You Need,Tems,32,29,25
33,Take Me Back (Leave Me There),Cody Johnson,43,33,4
34,Cinderella,Mac Miller Featuring Ty Dolla $ign,33,25,18
35,Bass Persuades,Miley,0,35,1
36,Shabang,Drake,35,4,17
37,Petal,Ariana Grande,34,4,6
38,Mr. Know It All,Teddy Swims,41,38,21
39,Orbiter,Noah Kahan,36,34,20
40,Rethink Some Things,Luke Combs,50,40,24
41,AH HA,Cardi B,42,25,6
42,Cowgirl,Shaboozey,44,42,10
43,Self Aware,Temper City,37,35,22
44,Jolene,Dolly Parton,22,16,11
45,Nicole Kidman,ADELA,0,45,1
46,Bloodstream,Alyssa Grace,51,45,10
47,Freakin' Out,Dexter And The Moonrocks,39,33,25
48,Something To Lose,Stella Lefty Featuring Vincent Mason,49,40,15
49,"Phone, Keys, Wallet",Lainey Wilson & John Mayer,53,48,14
50,Hit The Wall,Gracie Abrams,47,26,17
51,Rein Me In,Sam Fender & Olivia Dean,46,45,25
52,Great Expectation,Sienna Spiro,56,52,10
53,Carry On,Kenny Chesney,61,53,12
54,My Body Isn't Ready,sombr,59,30,11
55,Mexico Honey,Kacey Musgraves,58,39,15
56,WTF GOIN,Belly Gang Kushington & 21 Savage,84,56,3
57,Sue Me,Audrey Hobert,60,57,7
58,Think As You Drunk,Riley Green,69,58,11
59,Chevy Silverado,Bailey Zimmerman,64,41,12
60,Another Drink,Marshmello & Kelsea Ballerini,73,60,6
61,Noble,F3miii,71,51,18
62,Ghetto Love Story,BabyChiefDoit,68,44,10
63,Willing And Able,Noah Kahan,65,26,20
64,Still,Karol G With Bruno Mars,83,41,5
65,Maggots For Brains,Olivia Rodrigo,76,12,13
66,Empty Words,Corey Kent,85,66,13
67,Hootie Frutti,KATSEYE,67,31,4
68,Doors,Noah Kahan,66,9,20
69,SaWaDiKa,LISA,0,69,1
70,McArthur,"HARDY, Eric Church, Morgan Wallen & Tim McGraw",77,31,32
71,String By,Mack Geiger,0,71,4
72,Expectations,Olivia Rodrigo,80,20,13
73,The Feeling,Steve Lacy,87,67,8
74,Kid Myself,John Morgan,91,74,4
75,Honeybee,Olivia Rodrigo,79,9,13
76,Ahi,Karol G With Drake,78,44,5
77,South Of Sanity,Zach Top,86,77,9
78,Some Of Your Love,PARTYNEXTDOOR,62,36,3
79,All My Exes,Lauren Alaina Featuring Chase Matthew,97,79,3
80,Painted You Pretty,Hudson Westbrook,98,80,3
81,Country And She Knows It,Luke Bryan,0,81,1
82,Hands Up,Jelly Roll,0,82,4
83,In My Room,Julia Wolf,93,57,19
84,Bet On That,Blake Whiten,0,84,3
85,No Need For Leavin',Kameron Marlowe,0,85,7
86,What's Wrong With Me,Olivia Rodrigo & Robert Smith,96,17,13
87,Get To Drinkin',Zach John King,0,87,1
88,Amor,Emmanuel Cortes,0,88,6
89,Dope Girl,Rod Wave,70,70,2
90,End Of August,Noah Kahan,81,14,9
91,God I'm Just Grateful,Elevation Worship & Chandler Moore,0,91,1
92,House Tour,Sabrina Carpenter,0,27,18
93,Ran To Atlanta,Drake Featuring Future & Molly Santana,0,2,16
94,Kingdom Of Fear,Cameron Whitcomb,0,94,6
95,Stop The Wedding!,Ashe,0,95,1
96,Less,Olivia Rodrigo,0,21,8
97,Piece Of Your Love,Rod Wave,40,40,3
98,Matadora,Karol G,0,58,6
99,misery.,pupsies,0,50,9
100,Ayudame,Los Dos de Tamaulipas,0,99,2
